Модель;Название;Артикул;Масштаб;Описание;Фото;PDF файлы;URL
Т-34-85;Герои Победы. Советский средний танк Т-34/85;85;1:35;"Артикул : 3687ГП
В наличии
Масштаб
1:35
Детали
х 296
Размер, см
23,9
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
2 190 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/f4b/yx6wh6wop0ko8gyf9629ajeogcgtduw4/900_900_1/geroi_pobedy_sovetskiy_sredniy_tank_t_34_85.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/4ed/mdkslb0fgehgasn83w9nbxmmg46sm9id/900_900_1/2.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/fa3/81d4ouehyqcynyyx86j57gp2e2mm3kv9/900_900_1/1_4_.jpg;https://zvezda.org.ru/upload/iblock/f7b/1ym11ry16hah6zn0j1qzjwj8l19xzowp/3687_color.pdf, https://zvezda.org.ru/upload/iblock/c39/12kruay6ig03enger1g4eg6ccfhtbxts/3687_042020_web.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/geroi_pobedy_sovetskiy_sredniy_tank_t_34_85/
Tiger I;Немецкий тяжелый танк T-VI «Тигр»;3646;1:35;"Артикул : 3646
В наличии
Масштаб
1:35
Детали
х 335
Размер, см
24.1
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
1 990 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/8c6/900_900_1/nemetskiy_tyazhelyy_tank_t_vi_tigr.jpg, https://zvezda.org.ru/upload/iblock/442/3646_2.gif, https://zvezda.org.ru/upload/iblock/583/3646_5.gif;https://zvezda.org.ru/upload/iblock/856/3646_042020_web.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/nemetskiy_tyazhelyy_tank_t_vi_tigr/
Panther;"Немецкий средний танк Т-V ""Пантера""";3678;1:35;"Артикул : 3678
В наличии
Масштаб
1:35
Детали
х 482
Размер, см
24,7
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
1 990 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/987/900_900_1/nemetskiy_sredniy_tank_t_v_pantera.jpg, https://zvezda.org.ru/upload/iblock/dce/3678_5.gif, https://zvezda.org.ru/upload/iblock/c5f/3678_6.gif;https://zvezda.org.ru/upload/iblock/977/ztbfl4852vok64fmxgw125ughumencvy/3678_instr.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/nemetskiy_sredniy_tank_t_v_pantera/
M4 Sherman;Герои Победы. Американский средний танк М4А2 (76) W «Шерман»;3645;1:35;"Артикул : 3645ГП
В наличии
Масштаб
1:35
Детали
х 262
Размер, см
21,6
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
2 190 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/002/gjm1ep6avhd0lvs7cq9yfit8lrk8cto0/900_900_1/geroi_pobedy_amerikanskiy_sredniy_tank_m4a2_76_w_sherman.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/c9c/pcnpi7gt8ld9w705y5hwz4nap6p83czt/900_900_1/2.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/27e/ez348fa54xq8pqnmdbfv2ezgrfouxabx/900_900_1/1_6_.jpg;;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/geroi_pobedy_amerikanskiy_sredniy_tank_m4a2_76_w_sherman/
M4 Sherman;Американский средний танк М4А2 (76) W «Шерман»;76;1:35;"Артикул : 3645
В наличии
Масштаб
1:35
Детали
х 262
Размер, см
21,6
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
1 990 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/10d/1zqjeimq6fvi3gpg8tt5l7bcpu8hwm6a/900_900_1/amerikanskiy_sredniy_tank_sherman_m4a2_76.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/54f/mqyjimyoqy0qn2vh03683a4t1ap86n90/900_900_1/3645_FX_back.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/94a/08x3fm516e7gjlodq5rwx9bj7gx9uii6/900_900_1/3645_IMG_7962.jpg;https://zvezda.org.ru/upload/iblock/386/9xsj3wsn3mofdxs791mv7c1e6f3u2w81/3645_instr.pdf, https://zvezda.org.ru/upload/iblock/3a0/2ddl3nq9xpi2et0bb4ihikvddb120lta/3645_Sherman_instr_color.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/amerikanskiy_sredniy_tank_sherman_m4a2_76/
M4 Sherman;Американский средний танк Шерман М4А2;31431;1:72;"Артикул : 5063
В наличии
Масштаб
1:72
Детали
х 120
Размер, см
9
990 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/3c0/5um2ntnpd8w394ggthft7o6mwj4nykbb/900_900_1/amerikanskiy_sredniy_tank_sherman_m4a2.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/c1b/gfwqky8smlm9ks23qdoihahztrendhti/900_900_1/5063_D_back.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/a67/4brwb6o6ob014nco3bmvekv19l8okun6/900_900_1/5063_IMG_7324.jpg;https://zvezda.org.ru/upload/iblock/b10/d41wq2zjt2dpq3aqp6illkl8z6g460rt/5063_instr.pdf, https://zvezda.org.ru/upload/iblock/859/n52ftwznl3glmtg43dulasjjxx8lmflg/5063_Sherman_instr_color.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/amerikanskiy_sredniy_tank_sherman_m4a2_31431/
КВ-1;Советский тяжелый танк КВ-1;1;1:35;"Артикул : 3539
Мало
Масштаб
1:35
Детали
х 233
Размер, см
19
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
1 490 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/5cd/900_900_1/full_3539_f.png, https://zvezda.org.ru/upload/iblock/682/3539_2.gif, https://zvezda.org.ru/upload/iblock/103/3539_3.gif;https://zvezda.org.ru/upload/iblock/c89/3539_042020_web.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/vtoraya_mirovaya_voyna_vehicles/sovetskiy_tyazhelyy_tank_kv_1/
Т-90;Российский основной танк Т-90МС;38645;1:100;"Артикул : 7434
Мало
Возраст
7+
Масштаб
1:100
Детали
х 20
Размер, см
9,5
590 ₽
Купить на Hobby Games
Краски для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/a99/xmeoewx9z3qz8y8mzroukw9nr7295tzw/900_900_1/rossiyskiy_osnovnoy_tank_t_90ms_.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/0ee/6bd234wvv91pl0d8og8nueq67rgzmch4/900_900_1/7434_Q_back.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/330/n23lfacsefp36uu5glif4t3rn9fs7svt/900_900_1/7434_6C9A8282.jpg;https://zvezda.org.ru/upload/iblock/e44/4rgray3e6437cra5mz6itf56ii1bc2u1/7434_ins.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/tekhnika/poslevoennaya_i_sovremennaya_vehicles/rossiyskiy_osnovnoy_tank_t_90ms__38645/
Ил-2;Герои Победы. Советский двухместный штурмовик Ил-2 (обр. 1943г);4826;1:48;"Артикул : 4826ГП
В наличии
Масштаб
1:48
Детали
х 334
Размер, см
30,5
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
3 190 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/e24/w4wwkjssa6deqbjn086u78287h1vxv8v/900_900_1/geroi_pobedy_sovetskiy_dvukhmestnyy_shturmovik_il_2_obr_1943g.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/9ab/fj0i8z17vt0ass7eizkktumuulneo6pm/900_900_1/2_1_.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/dab/g33wq4ga98wxqj9b49qasyys7s48m8p9/900_900_1/1.jpg;https://zvezda.org.ru/upload/iblock/aa9/m4k41pr4gidvzkc2ms6pfbuw4lqsla0e/4826_color.pdf, https://zvezda.org.ru/upload/iblock/e47/1sby94xobnguuwrslua0uwrpjyqgs0b8/4826_instr_color.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/aviatsiya/vtoraya_mirovaya_voyna_aviation/geroi_pobedy_sovetskiy_dvukhmestnyy_shturmovik_il_2_obr_1943g/
Ил-2;Советский двухместный штурмовик Ил-2 (обр. 1943г);4826;1:48;"Артикул : 4826
В наличии
Масштаб
1:48
Детали
х 334
Размер, см
30,5
Клей и краска в комплект модели не входят
Если вы планируете окрашивать модель, уточните необходимые цвета в инструкции, ее можно скачать на этой странице. Или свяжитесь с нами.
2 990 ₽
Купить на Hobby Games
Краски для этой модели
Клей для этой модели";https://zvezda.org.ru/upload/resize_cache/iblock/e67/m6cfbj36ka1j86zjprtt4yndwq3omj3l/900_900_1/sovetskiy_dvukhmestnyy_shturmovik_il_2_obr_1943g.jpg, https://zvezda.org.ru/upload/resize_cache/iblock/54a/l7sw8opgmu7jcc5sje4ohpx0h7rcznh4/900_900_1/4826_FX_back.jpg, https://zvezda.org.ru/upload/iblock/070/kfx3t4iz5ruwt83o8zh3mpp6510aptlo/4826_IL_2_FX_color.jpg;https://zvezda.org.ru/upload/iblock/8d6/l8qdhq3xb1ueui0w24asgnhupbtxl8ua/4826_instr_color.pdf, https://zvezda.org.ru/upload/iblock/985/npl9vjk7sukcwgvd6go3jda3gidbzxdg/4826_instr_web.pdf;https://zvezda.org.ru/catalog/sbornye_modeli/aviatsiya/vtoraya_mirovaya_voyna_aviation/sovetskiy_dvukhmestnyy_shturmovik_il_2_obr_1943g/
